time,id,x,y,speed,headway,leader_id,target_accel_with_noise_with_failsafe,target_accel_no_noise_no_failsafe,target_accel_with_noise_no_failsafe,target_accel_no_noise_with_failsafe,realized_accel,road_grade,edge_id,lane_number,distance,relative_position,follower_id,leader_rel_speed,waiting_time
0,RL_0,28.067665126946387,1.6,0.0,1000.0,,,,,,0,0,E#R-X,0,0.0,21.932334873053613,,-1001.0,0.0
0.5,RL_0,27.41766668552174,1.6,1.2999968828492905,1000.0,,,,,,2.599993765698581,0,E#R-X,0,0.6499984414246462,22.58233331447826,,-1002.2999968828493,0.0
1.0,RL_0,26.11781941194514,1.6,2.5996945471531956,1000.0,,,,,,2.59939532860781,0,E#R-X,0,1.9498457150012456,23.882180588054858,,-1003.5996945471531,0.0
1.5,RL_0,24.169343733990047,1.6,3.8969513559101943,1000.0,,,,,,2.5945136175139973,0,E#R-X,0,3.898321392956344,25.830656266009957,,-1004.8969513559102,0.0
2.0,RL_0,21.57660057677699,1.6,5.185486314426105,1000.0,,,,,,2.577069917031821,0,E#R-X,0,6.491064550169398,28.42339942322301,,-1006.1854863144262,0.0
2.5,RL_0,18.350207738653346,1.6,6.452785676247291,1000.0,,,,,,2.5345987236423717,0,E#R-X,0,9.717457388293042,31.649792261346654,flow_101.0,-1007.4527856762473,0.0
3.0,RL_0,14.510798556588476,1.6,7.678818364129737,1000.0,,,,,,2.4520653757648923,0,E#R-X,0,13.556866570357911,35.489201443411524,flow_101.0,-1008.6788183641297,0.0
3.5,RL_0,10.098029836132929,1.7426477622900303,8.836498146863546,0.9,RL_1,,,,,2.3153595654676185,0,:X_3,0,17.975115643789685,1.9074505168432978,flow_101.0,0.0,0.0
4.0,RL_0,4.2265372967707036,4.147385754268646,13.1374191101509,0.9,RL_1,,,,,8.601841926574707,0,:X_3,0,24.543825198865136,8.476160071918748,flow_101.0,0.6990790367126465,0.0
4.5,RL_0,1.7111225799349463,10.518365600867384,14.195872670026388,1000.0,,,,,,2.1169071197509766,0,:X_3,0,31.64176153387833,15.574096406931943,flow_101.0,-1015.1958726700263,0.0
5.0,RL_0,1.6,20.11203274194514,19.19587267002639,1000.0,,,,,,10.000000000000004,0,E#X-T,0,41.239697868891525,8.11203274194514,RL_1,-1020.1958726700263,0.0
5.5,RL_0,1.6,28.360262979950022,16.496460476009766,1000.0,,,,,,-5.398824388033248,0,E#X-T,0,49.48792810689641,16.360262979950022,RL_1,-1017.4964604760098,0.0
6.0,RL_0,1.6,36.0603872079477,15.400248455995344,1000.0,,,,,,-2.1924240400288433,0,E#X-T,0,57.18805233489408,24.060387207947695,RL_1,-1016.4002484559953,0.0
6.5,RL_0,1.6,43.46930506514674,14.817835714398097,1000.0,,,,,,-1.1648254831944946,0,E#X-T,0,64.59697019209312,31.46930506514674,RL_1,-1015.8178357143981,0.0
0,RL_1,-27.137637629423597,-1.6,0.0,1000.0,,,,,,0,0,E#L-X,0,0.0,22.862362370576403,,-1001.0,0.0
0.5,RL_1,-26.48763918799895,-1.6,1.2999968828492905,1000.0,,,,,,2.599993765698581,0,E#L-X,0,0.6499984414246462,23.51236081200105,,-1002.2999968828493,0.0
1.0,RL_1,-25.187791914422352,-1.6,2.5996945471531956,1000.0,,,,,,2.59939532860781,0,E#L-X,0,1.9498457150012456,24.812208085577648,,-1003.5996945471531,0.0
1.5,RL_1,-23.239316236467253,-1.6,3.8969513559101943,1000.0,,,,,,2.5945136175139973,0,E#L-X,0,3.898321392956344,26.760683763532747,,-1004.8969513559102,0.0
2.0,RL_1,-20.6465730792542,-1.6,5.185486314426105,1000.0,,,,,,2.577069917031821,0,E#L-X,0,6.491064550169398,29.3534269207458,,-1006.1854863144262,0.0
2.5,RL_1,-17.420180241130552,-1.6,6.452785676247291,1000.0,,,,,,2.5345987236423717,0,E#L-X,0,9.717457388293045,32.57981975886945,,-1007.4527856762473,0.0
3.0,RL_1,-13.580771059065682,-1.6,7.678818364129737,1000.0,,,,,,2.4520653757648923,0,E#L-X,0,13.556866570357915,36.41922894093432,,-1008.6788183641297,0.0
3.5,RL_1,-9.162452891869174,-1.6,8.836498146863546,1000.0,,,,,,2.3153595654676185,0,:X_11,0,17.97511564378969,2.8374780143660914,flow_301.0,-1009.8364981468635,0.0
4.0,RL_1,-2.252678017865011,-1.5340474714306698,13.836498146863546,1000.0,,,,,,10.0,0,:X_11,0,24.893364717221463,9.755727087797865,,-1014.8364981468635,0.0
4.5,RL_1,1.6,3.977512800192894,15.303962117047872,1000.0,,,,,,2.9349279403686523,0,:X_11,0,32.5453457757454,17.407708146321802,,-1016.3039621170478,0.0
5.0,RL_1,1.6,12.198638785038305,16.441861277433006,2.913393956906834,RL_0,,,,,2.2757983207702672,0,E#X-T,0,40.766276414461906,0.19863878503830534,flow_101.0,2.754011392593384,0.0
5.5,RL_1,1.6,18.169569423754808,11.941861277433006,5.190693556195214,RL_0,,,,,-9.0,0,E#X-T,0,46.73720705317841,6.169569423754808,flow_101.0,4.55459919857676,0.0
6.0,RL_1,1.6,24.258133513611895,12.177128179714174,6.8022536943358,RL_0,,,,,0.4705338045623364,0,E#X-T,0,52.825771143035496,12.258133513611895,flow_101.0,3.22312027628117,0.0
6.5,RL_1,1.6,30.289551938513466,12.062836849803139,8.179753126633276,RL_0,,,,,-0.22858265982207016,0,E#X-T,0,58.85718956793707,18.289551938513466,flow_101.0,2.754998864594958,0.0
7.0,RL_1,1.6,36.29263363101501,12.006163385003086,1000.0,,,,,,-0.11334692960010528,0,E#X-T,0,64.86027126043861,24.292633631015008,flow_101.0,-1013.0061633850031,0.0
7.5,RL_1,1.6,42.564880921310944,12.544494580591874,1000.0,,,,,,1.0766623911775746,0,E#X-T,0,71.13251855073455,30.564880921310944,flow_101.0,-1013.5444945805918,0.0
8.0,RL_1,1.6,49.039302248671454,12.948842654721023,1000.0,,,,,,0.8086961482582993,0,E#X-T,0,77.60693987809506,37.039302248671454,flow_101.0,-1013.948842654721,0.0
2.0,flow_0012.0,-1.6,44.9,0.0,1000.0,,,,,,0,0,E#T-X,0,0.0,5.1,,-1001.0,0.0
2.5,flow_0012.0,-1.6,44.65,0.5,1000.0,,1.0,1.0,1.0,1.0,1.0,0,E#T-X,0,0.25,5.35,,-1001.5,0.0
3.0,flow_0012.0,-1.6,44.150000019290125,0.9999999614197531,1000.0,,0.9999999228395062,0.9999999228395062,0.9999999228395062,0.9999999228395062,0.9999999228395062,0,E#T-X,0,0.7499999807098767,5.849999980709876,,-1001.9999999614198,0.0
3.5,flow_0012.0,-1.6,43.400000347222175,1.4999993441358979,1000.0,,0.9999987654322893,0.9999987654322893,0.9999987654322893,0.9999987654322893,0.9999987654322895,0,E#T-X,0,1.4999996527778254,6.599999652777825,,-1002.4999993441359,0.0
4.0,flow_0012.0,-1.6,42.40000223765149,1.9999962191413634,1000.0,,0.999993750010931,0.999993750010931,0.999993750010931,0.999993750010931,0.999993750010931,0,E#T-X,0,2.4999977623485075,7.599997762348507,,-1002.9999962191414,0.0
4.5,flow_0012.0,-1.6,41.15000906631508,2.499986342672837,1000.0,,0.9999802470629471,0.9999802470629471,0.9999802470629471,0.9999802470629471,0.9999802470629473,0,E#T-X,0,3.7499909336849253,8.849990933684925,,-1003.4999863426729,0.0
5.0,flow_0012.0,-1.6,39.65002795104237,2.9999622305454148,1000.0,,0.9999517757451555,0.9999517757451555,0.9999517757451555,0.9999517757451555,0.9999517757451555,0,E#T-X,0,5.249972048957632,10.349972048957632,,-1003.9999622305454,0.0
5.5,flow_0012.0,-1.6,37.900071834510705,3.499912233063331,1000.0,,0.9999000050358322,0.9999000050358322,0.9999000050358322,0.9999000050358322,0.9999000050358324,0,E#T-X,0,6.9999281654892975,12.099928165489297,,-1004.4999122330634,0.0
