time,id,x,y,speed,headway,leader_id,target_accel_with_noise_with_failsafe,target_accel_no_noise_no_failsafe,target_accel_with_noise_no_failsafe,target_accel_no_noise_with_failsafe,realized_accel,road_grade,edge_id,lane_number,distance,relative_position,follower_id,leader_rel_speed,waiting_time
0,RL_0,-14.180570979987415,-1.6,0.0,1000.0,,,,,,0,0,E#L-X,0,0.0,35.819429020012585,,-1001.0,0.0
0.5,RL_0,-13.530572538562772,-1.6,1.2999968828492905,1000.0,,,,,,2.599993765698581,0,E#L-X,0,0.6499984414246427,36.46942746143723,flow_30.0,-1002.2999968828493,0.0
1.0,RL_0,-12.230725264986177,-1.6,2.5996945471531956,1000.0,,,,,,2.59939532860781,0,E#L-X,0,1.9498457150012385,37.76927473501382,flow_30.0,-1003.5996945471531,0.0
1.5,RL_0,-10.287184906980407,-1.7284611319764696,3.8969513559101943,1000.0,,,,,,2.5945136175139973,0,:X_9,0,3.8983213929563334,1.7177504129689183,flow_30.0,-1004.8969513559102,0.0
2.0,RL_0,-8.123360724001074,-1.8907479456999192,4.34011808869828,1000.0,,,,,,0.8863334655761719,0,:X_9,0,6.068380437305473,3.8878094573180584,flow_30.0,-1005.3401180886983,0.0
2.5,RL_0,-6.593751493628994,-2.4949512911569642,3.301505484557045,1000.0,,,,,,-2.0772252082824707,0,:X_9,0,7.719133179583996,5.538562199596581,flow_00.0,-1004.3015054845571,0.0
3.0,RL_0,-3.3591864858941958,-4.9954621026812305,8.301505484557044,1000.0,,,,,,9.999999999999998,0,:X_9,0,11.869885921862519,9.689314941875104,flow_00.0,-1009.3015054845571,0.0
3.5,RL_0,-1.807370257498203,-9.235063233357295,9.19556275842179,1000.0,,,,,,1.7881145477294922,0,:X_9,0,16.467667301073412,14.287096321085999,flow_00.0,-1010.1955627584218,0.0
4.0,RL_0,-1.6,-14.146727523294942,9.839262404417884,1000.0,,,,,,1.2873992919921875,0,E#X-D,0,21.38729850328236,2.146727523294942,flow_00.0,-1010.8392624044179,0.0
4.5,RL_0,-1.6,-19.535275391798088,10.777095737006293,1000.0,,,,,,1.8756666651768192,0,E#X-D,0,26.775846371785505,7.535275391798089,flow_00.0,-1011.7770957370063,0.0
5.0,RL_0,-1.6,-25.319068447169126,11.567586110742075,1000.0,,,,,,1.580980747471564,0,E#X-D,0,32.55963942715654,13.319068447169126,flow_00.0,-1012.5675861107421,0.0
5.5,RL_0,-1.6,-31.421150089215963,12.204163284093672,1000.0,,,,,,1.273154346703194,0,E#X-D,0,38.66172106920338,19.421150089215963,flow_00.0,-1013.2041632840936,0.0
6.0,RL_0,-1.6,-37.768634535905456,12.694968893378986,1000.0,,,,,,0.9816112185706274,0,E#X-D,0,45.00920551589287,25.768634535905456,flow_301.0,-1013.694968893379,0.0
6.5,RL_0,-1.6,-44.29819697792272,13.059124884034526,1000.0,,,,,,0.7283119813110801,0,E#X-D,0,51.53876795791014,32.29819697792272,flow_301.0,-1014.0591248840345,0.0
