run,n_vehicles,travel_time_min,travel_time_avg,travel_time_max,waiting_time_min,waiting_time_avg,waiting_time_max
0,80,9.0,68.025,157.0,0.0,50.2875,131.0
1,80,10.0,57.625,115.0,0.0,40.7375,93.0
2,83,11.0,63.27710843373494,140.0,0.0,44.78313253012048,114.0
3,94,10.0,68.7872340425532,152.0,0.0,50.48936170212766,125.0
4,79,10.0,75.81012658227849,178.0,0.0,56.721518987341774,155.0
5,88,11.0,75.72727272727273,165.0,0.0,57.20454545454545,139.0
6,92,10.0,70.6086956521739,164.0,0.0,51.71739130434783,138.0
7,82,10.0,62.573170731707314,140.0,0.0,44.23170731707317,116.0
8,93,11.0,77.93548387096774,190.0,0.0,58.44086021505376,163.0
9,86,12.0,69.67441860465117,145.0,0.0,51.08139534883721,121.0
10,79,10.0,61.67088607594937,119.0,0.0,44.139240506329116,95.0
11,89,12.0,77.38202247191012,190.0,0.0,58.2247191011236,168.0
12,82,11.0,77.0609756097561,150.0,0.0,57.31707317073171,124.0
13,88,10.0,73.06818181818181,147.0,0.0,53.97727272727273,122.0
14,82,10.0,61.68292682926829,122.0,0.0,44.13414634146341,95.0
15,81,10.0,55.592592592592595,125.0,0.0,38.25925925925926,100.0
16,81,10.0,65.60493827160494,134.0,0.0,47.25925925925926,110.0
17,88,12.0,73.27272727272727,151.0,0.0,54.44318181818182,127.0
18,91,10.0,69.15384615384616,192.0,0.0,50.13186813186813,169.0
19,89,10.0,62.7752808988764,183.0,0.0,44.57303370786517,160.0
20,89,10.0,82.04494382022472,167.0,0.0,62.41573033707865,142.0
21,86,14.0,64.34883720930233,139.0,0.0,45.651162790697676,114.0
22,77,10.0,62.4025974025974,131.0,0.0,45.103896103896105,103.0
23,88,10.0,74.2840909090909,174.0,0.0,54.34090909090909,146.0
24,88,9.0,68.125,149.0,0.0,49.39772727272727,121.0
25,81,10.0,58.91358024691358,127.0,0.0,41.098765432098766,99.0
26,85,13.0,79.03529411764706,159.0,0.0,59.811764705882354,135.0
27,78,12.0,77.61538461538461,207.0,0.0,58.12820512820513,180.0
28,76,10.0,69.8157894736842,150.0,0.0,51.39473684210526,127.0
29,90,10.0,77.38888888888889,162.0,0.0,58.144444444444446,136.0
30,90,11.0,83.24444444444444,173.0,0.0,62.98888888888889,149.0
31,86,10.0,73.18604651162791,159.0,0.0,54.03488372093023,134.0
32,89,12.0,84.24719101123596,172.0,0.0,64.96629213483146,145.0
33,81,10.0,66.69135802469135,130.0,0.0,48.876543209876544,106.0
34,84,10.0,65.36904761904762,153.0,0.0,47.226190476190474,127.0
35,89,9.0,64.61797752808988,138.0,0.0,46.449438202247194,114.0
36,90,10.0,81.16666666666667,163.0,0.0,61.833333333333336,139.0
37,88,10.0,75.3409090909091,149.0,0.0,56.06818181818182,124.0
38,88,12.0,77.1590909090909,199.0,0.0,57.78409090909091,173.0
39,90,11.0,70.2,131.0,0.0,51.922222222222224,106.0
40,93,16.0,73.83870967741936,162.0,0.0,54.68817204301075,137.0
41,87,10.0,64.66666666666667,173.0,0.0,47.01149425287356,149.0
