run,n_vehicles,travel_time_min,travel_time_avg,travel_time_max,waiting_time_min,waiting_time_avg,waiting_time_max
0,130,8.0,52.5,98.0,0.0,37.33076923076923,83.0
1,96,7.0,50.833333333333336,100.0,0.0,35.854166666666664,82.0
2,90,7.0,45.9,99.0,0.0,31.566666666666666,83.0
3,134,8.0,45.71641791044776,97.0,0.0,31.007462686567163,82.0
4,103,8.0,45.116504854368934,95.0,0.0,30.766990291262136,80.0
5,114,9.0,50.50877192982456,100.0,0.0,34.87719298245614,83.0
6,108,7.0,44.25925925925926,98.0,0.0,30.25,82.0
7,127,8.0,54.818897637795274,100.0,0.0,39.48031496062992,84.0
8,103,8.0,57.9126213592233,100.0,0.0,42.359223300970875,84.0
9,105,8.0,56.114285714285714,99.0,0.0,41.02857142857143,83.0
10,126,8.0,50.53968253968254,98.0,0.0,35.91269841269841,83.0
11,93,8.0,55.11827956989247,98.0,0.0,40.26881720430107,82.0
12,95,8.0,55.084210526315786,99.0,0.0,39.51578947368421,82.0
13,102,8.0,46.96078431372549,99.0,0.0,32.03921568627451,80.0
14,96,8.0,42.572916666666664,99.0,0.0,28.125,83.0
15,133,7.0,48.81954887218045,99.0,0.0,33.64661654135338,83.0
16,96,8.0,48.09375,98.0,0.0,33.229166666666664,81.0
17,97,8.0,46.51546391752577,99.0,0.0,32.175257731958766,82.0
18,100,8.0,54.44,99.0,0.0,39.18,83.0
19,94,7.0,53.244680851063826,97.0,0.0,38.212765957446805,83.0
20,130,8.0,55.19230769230769,98.0,0.0,40.1,83.0
21,88,8.0,49.18181818181818,100.0,0.0,34.56818181818182,82.0
22,117,8.0,49.94871794871795,99.0,0.0,34.794871794871796,82.0
23,99,8.0,50.55555555555556,99.0,0.0,35.57575757575758,82.0
24,122,9.0,45.63934426229508,97.0,0.0,30.4672131147541,80.0
25,133,8.0,52.6390977443609,99.0,0.0,37.31578947368421,83.0
26,108,8.0,56.583333333333336,100.0,0.0,40.98148148148148,82.0
27,108,8.0,53.666666666666664,100.0,0.0,38.73148148148148,83.0
28,126,8.0,52.25396825396825,100.0,0.0,37.142857142857146,82.0
29,124,7.0,45.54032258064516,99.0,0.0,30.927419354838708,84.0
30,101,7.0,52.46534653465346,99.0,0.0,37.46534653465346,83.0
31,136,7.0,48.5735294117647,98.0,0.0,32.970588235294116,81.0
32,114,8.0,49.44736842105263,99.0,0.0,34.45614035087719,81.0
33,102,8.0,46.3235294117647,98.0,0.0,31.754901960784313,81.0
34,107,8.0,50.71028037383178,101.0,0.0,35.41121495327103,82.0
35,130,8.0,57.284615384615385,100.0,0.0,41.94615384615385,83.0
36,105,8.0,52.57142857142857,99.0,0.0,37.476190476190474,84.0
37,115,8.0,54.73913043478261,99.0,0.0,39.643478260869564,83.0
38,111,7.0,47.153153153153156,98.0,0.0,32.108108108108105,82.0
39,122,8.0,52.19672131147541,99.0,0.0,37.13934426229508,81.0
40,124,8.0,42.91129032258065,97.0,0.0,28.330645161290324,82.0
41,137,8.0,50.941605839416056,100.0,0.0,35.75912408759124,82.0
